Part,Width (Inches),Height (Inches),Depth (Inches),Weight (Pounds),LTL Threshold
90850,23,42,26,75,
90851,23,42,26,75,
90644,23,48,26,85,
90811,23,48,26,85,
90812,23,48,26,85,
90813,23,48,26,85,
90814,23,48,26,85,
90815,23,48,26,85,
90816,23,48,26,85,
90817,23,48,26,85,
91059,21,19,50,85,1
91161,21,19,50,85,1
51820,24,24,40,55,1
90855,26,22,55,65,1
91145,26,22,50,85,1
91260,26,22,50,75,1
90884,27,27,69,155,1
51018,30,22,40,75,1
51023,30,22,40,75,1
51024,30,22,40,75,1
51027,30,22,40,75,1
51296,30,22,40,85,1
51807,30,22,40,85,1
53173,30,22,40,85,1
53542,30,22,40,85,1
90672,30,22,45,71,1
90980,30,22,45,71,1
91199,33,22,25,85,1
90697,35,25,25,95,1
91068,38,26,69,245,1
91101,38,26,69,245,1
91101,38,26,69,245,1
51038,39,21,39,95,1
51823,39,21,39,95,1
53155,39,21,39,95,1
53155,39,21,39,95,1
53156,39,21,39,95,1
53172,39,21,39,95,1
90019,39,21,39,95,1
90676,39,21,39,71,1
91166,39,21,39,75,1
50733,50,26,35,205,1
90708,50,26,35,105,1
90709,50,26,35,105,1
